game,move,bot,time_taken_per_move,process_memory_kb,mem_diff
1,1,NaiveBayes,35,43892,0
1,2,NaiveBayes,9,44628,736
1,3,NaiveBayes,4,45424,796
1,4,NaiveBayes,7,46084,660
3,1,NaiveBayes,18,53476,7392
3,2,NaiveBayes,18,53476,0
3,3,NaiveBayes,16,53476,0
4,1,MinimaxDepth3,0,43760,0
4,2,MinimaxDepth3,31,44444,684
4,3,MinimaxDepth3,8,45248,804
4,4,MinimaxDepth3,7,46112,864
5,1,NaiveBayes,12,46500,0
5,2,NaiveBayes,12,47240,740
5,3,NaiveBayes,4,48016,776
5,4,NaiveBayes,3,48684,668
7,1,NaiveBayes,13,54632,5948
7,2,NaiveBayes,18,54632,0
7,3,NaiveBayes,14,54440,-192
8,1,MinimaxPerfect,1,43924,0
8,2,MinimaxPerfect,80,44448,524
8,3,MinimaxPerfect,14,45256,808
9,1,NaiveBayes,42,46284,0
9,2,NaiveBayes,6,46784,500
9,3,NaiveBayes,9,47648,864
9,4,NaiveBayes,10,48584,936
10,1,MinimaxDepth3,1,59044,10460
10,2,MinimaxDepth3,298,59044,0
10,3,MinimaxDepth3,25,59044,0
10,4,MinimaxDepth3,10,59044,0
11,1,NaiveBayes,11,45724,0
11,2,NaiveBayes,18,46312,588
11,3,NaiveBayes,14,47116,804
11,4,NaiveBayes,10,52796,5680
11,5,NaiveBayes,15,53328,532
11,6,NaiveBayes,9,52772,-556
11,7,NaiveBayes,10,52196,-576
